,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores
621,1653,,Criminal Mischief,"Report criminal mischief, vandalism, or criminal activity that has damaged property."," Criminal Mischief Report criminal mischief, vandalism, or criminal activity that has damaged property."," criminal mischief report criminal mischief, vandalism, or criminal activity that has damaged property.","criminal mischief report criminal mischief, vandalism, criminal activity damaged property building","{'neg': 0.784, 'neu': 0.216, 'pos': 0.0, 'compound': -0.9524}"
622,1652,New York City Police Department,Criminal Mischief,"Report criminal mischief, vandalism, or criminal activity that has resulted in property damage. Requires immediate transfer to 911.","New York City Police Department Criminal Mischief Report criminal mischief, vandalism, or criminal activity that has resulted in property damage. Requires immediate transfer to 911.","new york city police department criminal mischief report criminal mischief, vandalism, or criminal activity that has resulted in property damage. requires immediate transfer to 911.","new york city police department criminal mischief report criminal mischief, vandalism, criminal activity resulted property building damage requires immediate transfer","{'neg': 0.568, 'neu': 0.432, 'pos': 0.0, 'compound': -0.9545}"
623,1650,,Community Boards,Get locations and contact information for community boards., Community Boards Get locations and contact information for community boards., community boards get locations and contact information for community boards.,community boards get locations contact information community boards,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
624,1644,Department of Finance,NOPV - Market Value - Request a Review,"Request a review of the market value of Tax Class 1, Class 2, and Class 4 properties.","Department of Finance NOPV - Market Value - Request a Review Request a review of the market value of Tax Class 1, Class 2, and Class 4 properties.","department of finance nopv - market value - request a review request a review of the market value of tax class 1, class 2, and class 4 properties.","department finance nopv market value request review request review market value tax class , class , class properties","{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.5859}"
625,1638,New York City Housing Authority,NYCHA Borough Management Office - Bronx,Complaint or question from a NYCHA resident.,New York City Housing Authority NYCHA Borough Management Office - Bronx Complaint or question from a NYCHA resident.,new york city housing authority nycha borough management office - bronx complaint or question from a nycha resident.,new york city housing authority nycha borough management office bronx complaint general information nycha resident,"{'neg': 0.133, 'neu': 0.788, 'pos': 0.079, 'compound': -0.2263}"
626,1637,New York City Police Department,Noise from Park,Report noise from a park.,New York City Police Department Noise from Park Report noise from a park.,new york city police department noise from park report noise from a park.,new york city police department noise park report noise park,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
627,1635,National Grid,National Grid Metro NY,"Questions about gas bills or service from customers in Brooklyn, Staten Island and parts of Queens.","National Grid National Grid Metro NY Questions about gas bills or service from customers in Brooklyn, Staten Island and parts of Queens.","national grid national grid metro ny questions about gas bills or service from customers in brooklyn, staten island and parts of queens.","electricity gas electricity gas metro ny general informations gas bills service customers brooklyn, staten island parts queens","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
628,1635,,Taxpayer Advocate,Get help if you've been unable to resolve a tax or rent freeze issue with the Department of Finance through the normal process., Taxpayer Advocate Get help if you've been unable to resolve a tax or rent freeze issue with the Department of Finance through the normal process., taxpayer advocate get help if you've been unable to resolve a tax or rent freeze issue with the department of finance through the normal process.,taxpayer advocate get help youve unable resolve tax rent freeze issue department finance normal process,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.6705}"
629,1629,New York Courts,Criminal Court Information,"Get information about Criminal Court including locations, hours, arrests, case status, appeals, bail, summonses, and domestic violence services.","New York Courts Criminal Court Information Get information about Criminal Court including locations, hours, arrests, case status, appeals, bail, summonses, and domestic violence services.","new york courts criminal court information get information about criminal court including locations, hours, arrests, case status, appeals, bail, summonses, and domestic violence services.","new york courts criminal court information get information criminal court including locations, hours, arrests, case status, appeals, bail, summonses, domestic violence services","{'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.93}"
630,1627,Department of Housing Preservation and Development,Pest Control Complaint in Apartment,"Complaint about bed bugs, fleas, flies, roaches, mice, or other pests inside an apartment.","Department of Housing Preservation and Development Pest Control Complaint in Apartment Complaint about bed bugs, fleas, flies, roaches, mice, or other pests inside an apartment.","department of housing preservation and development pest control complaint in apartment complaint about bed bugs, fleas, flies, roaches, mice, or other pests inside an apartment.","department housing preservation development pest control complaint apartment complaint bed public health bugs pest control, fleas, flies, roaches, public health rats public health rodent rats pest control pest control, pests inside apartment","{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.5267}"
631,1623,Department of Sanitation,"Dog Waste - Street, Sidewalk or Adjoining Area",Report of a public location where dog walkers frequently fail to pick up dog waste.,"Department of Sanitation Dog Waste - Street, Sidewalk or Adjoining Area Report of a public location where dog walkers frequently fail to pick up dog waste.","department of sanitation dog waste - street, sidewalk or adjoining area report of a public location where dog walkers frequently fail to pick up dog waste.","department sanitation waste dog animal waste street, sidewalk adjoining area report public location dog animal walkers frequently fail pick dog animal waste","{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.8979}"
